target,dpi,time,inoc,high_N,high_P,nutrient,round,replicate,sample,shoot_mass_g,root_mass_g,leaf_area_mm2,leaves,mass_ext_mg,PAVmin,PAVint,PAVslope,RPVmin,RPVint,RPVslope,q_group,tech_cycle,quant,quant_adj,quant_zero
PAV,29,8,PAV,0,1,P,3,4,38PAVP4shoot,0.2902,0.0162,1449.429,3,52,2800,50.34818138034469,-3.3574419663333335,NA,NA,NA,14,38.11900075,4389.450242769149,4389.450242769149,0
PAV,29,8,PAV,0,1,P,4,5,48PAVP5shoot,0.5321,0.0309,2485.427,4,49.4,2800,48.97662263167208,-3.3588090899999994,NA,NA,NA,13,37.17870903,3254.8335349915474,3254.8335349915474,0
PAV,29,8,PAV,0,1,P,5,6,58PAVP6shoot,0.244,0.0152,NA,NA,48.5,2800,51.174255418315916,-3.3517181390000026,NA,NA,NA,42,38.01255417,8449.909370381507,8449.909370381507,0
PAV,29,8,PAV,0,1,P,5,7,58PAVP7shoot,0.3692,0.0207,NA,NA,51.4,2800,51.174255418315916,-3.3517181390000026,NA,NA,NA,42,39.05010605,4142.798756563699,4142.798756563699,0
PAV,29,8,PAV,1,0,N,1,1,18PAVN1shoot,0.3193,0.0117,1875.744,4,48,2800,50.34818138034469,-3.3574419663333335,NA,NA,NA,14,NaN,NaN,0,1
PAV,29,8,PAV,1,0,N,1,2,18PAVN2shoot,0.2616,0.0034,1691.001,3,50.6,2800,49.19482930996279,-3.0508223223333335,2800,50.71861645847463,-3.568601969833332,12,37.31090291666667,7858.127610792005,7858.127610792005,0
PAV,29,8,PAV,1,0,N,2,3,28PAVN3shoot,0.3466,0.0181,1802.201,3,46.3,2800,48.97662263167208,-3.3588090899999994,NA,NA,NA,13,39.95884514,483.96499168602037,0,1
PAV,29,8,PAV,1,0,N,3,4,38PAVN4shoot,0.2702,0.0108,1627.662,3,47.5,2800,48.97662263167208,-3.3588090899999994,NA,NA,NA,13,36.79440307666667,4235.903986362525,4235.903986362525,0
PAV,29,8,PAV,1,0,N,4,5,48PAVN5shoot,0.6444,0.0347,3991.724,4,49.4,2800,49.60374995845039,-3.348891957999999,NA,NA,NA,15,37.14369074333334,5255.950899131464,5255.950899131464,0
PAV,29,8,PAV,1,0,N,5,6,58PAVN6shoot,0.5483,0.019,NA,NA,46.8,2800,51.174255418315916,-3.3517181390000026,NA,NA,NA,42,37.696413676666666,10499.629439044536,10499.629439044536,0
PAV,29,8,PAV,1,0,N,5,7,58PAVN7shoot,0.6076,0.0207,NA,NA,53.4,2800,51.174255418315916,-3.3517181390000026,NA,NA,NA,42,36.27648417,27849.426075281743,27849.426075281743,0
PAV,29,8,PAV,1,1,N+P,1,1,18PAVN+P1shoot,0.4409,0.0098,2401.724,4,49.3,2800,50.34818138034469,-3.3574419663333335,NA,NA,NA,14,NaN,NaN,0,1
PAV,29,8,PAV,1,1,N+P,1,2,18PAVN+P2shoot,0.3794,0.00147,2304.306,4,50.6,2800,50.34818138034469,-3.3574419663333335,NA,NA,NA,14,36.00790914,18671.959947766958,18671.959947766958,0
PAV,29,8,PAV,1,1,N+P,2,3,28PAVN+P3shoot,0.3615,0.0189,1992.095,3,48.6,2800,48.97662263167208,-3.3588090899999994,NA,NA,NA,13,44.22773996666667,25.933376232550252,0,1
PAV,29,8,PAV,1,1,N+P,3,4,38PAVN+P4shoot,0.212,0.0167,1102.244,2,48.2,2800,48.97662263167208,-3.3588090899999994,NA,NA,NA,13,39.13069153,853.8382903987083,0,1
PAV,29,8,PAV,1,1,N+P,4,5,48PAVN+P5shoot,0.7397,0.0274,3890.676,4,48.9,2800,49.60374995845039,-3.348891957999999,NA,NA,NA,15,43.69947433,57.95000560638659,0,1
PAV,29,8,PAV,1,1,N+P,5,6,58PAVN+P6shoot,0.3931,0.0098,NA,NA,48,2800,51.174255418315916,-3.3517181390000026,NA,NA,NA,42,37.27866618,13989.777063178824,13989.777063178824,0
PAV,29,8,PAV,1,1,N+P,5,7,58PAVN+P7shoot,0.5662,0.02,NA,NA,49.3,2800,51.174255418315916,-3.3517181390000026,NA,NA,NA,42,38.534433365,5904.0098607529435,5904.0098607529435,0
PAV,29,8,RPV,0,0,low,1,1,18RPVlow1shoot,0.2318,0.0101,1327.734,3,46.9,2800,53.91588388787196,-3.352839229851849,2800,54.45703351869864,-3.645049392402595,09,NaN,NaN,0,1
PAV,29,8,RPV,0,0,low,2,3,28RPVlow3shoot,0.1837,0.013,1191.316,3,47.3,280000,55.570678024402135,-3.193670273333336,2800,53.185587483192926,-3.4022962243749992,08,NaN,NaN,0,1
PAV,29,8,RPV,0,0,low,3,4,38RPVlow4shoot,0.3552,0.0254,1770.229,4,51.6,28000,56.24501307450545,-3.5212787623333273,28000,46.31349642100532,-2.748257001333326,11,NaN,NaN,0,1
PAV,29,8,RPV,0,0,low,4,5,48RPVlow5shoot,0.2414,0.0264,1576.456,3,48,2800,53.91588388787196,-3.352839229851849,2800,54.45703351869864,-3.645049392402595,09,NaN,NaN,0,1
PAV,29,8,RPV,0,1,P,1,1,18RPVP1shoot,0.2455,0.0141,1335.6,4,48.6,280000,55.570678024402135,-3.193670273333336,2800,53.185587483192926,-3.4022962243749992,08,NaN,NaN,0,1
PAV,29,8,RPV,0,1,P,1,2,18RPVP2shoot,0.0927,0.0023,875.068,4,46.1,2800,53.91588388787196,-3.352839229851849,2800,54.45703351869864,-3.645049392402595,09,NaN,NaN,0,1
PAV,29,8,RPV,0,1,P,2,3,28RPVP3shoot,0.1764,0.014,984.021,3,48.7,28000,56.24501307450545,-3.5212787623333273,28000,46.31349642100532,-2.748257001333326,11,NaN,NaN,0,1
PAV,29,8,RPV,0,1,P,3,4,38RPVP4shoot,0.3281,0.0324,1782.715,4,50.4,28000,56.835315226920635,-3.627224160666664,28000,54.450656562759015,-3.86230174347826,06,NaN,NaN,0,1
PAV,29,8,RPV,0,1,P,4,5,48RPVP5shoot,0.2991,0.0246,1659.823,3,48.8,2800,56.11142245045284,-3.7056832697407387,2800,53.038864846669526,-3.7361079197058813,05,NaN,NaN,0,1
PAV,29,8,RPV,1,0,N,1,1,18RPVN1shoot,0.4494,0.0217,2465.667,4,53.7,1000,53.61460039970443,-3.26696056811987,1000,48.158260637525146,-3.2357518895975863,01,43.341079715,1395.315395052547,1395.315395052547,0
PAV,29,8,RPV,1,0,N,1,2,18RPVN2shoot,0.4868,0.0171,2531.614,4,49.4,280000,55.570678024402135,-3.193670273333336,2800,53.185587483192926,-3.4022962243749992,08,NaN,NaN,0,1
PAV,29,8,RPV,1,0,N,2,3,28RPVN3shoot,0.4028,0.0308,2102.128,3,49.4,28000,56.835315226920635,-3.627224160666664,28000,54.450656562759015,-3.86230174347826,06,NaN,NaN,0,1
PAV,29,8,RPV,1,0,N,3,4,38RPVN4shoot,0.4673,0.0265,2267.766,4,48.8,2800,54.443033163112105,-3.0831486584444425,28000,54.8519049823941,-3.428139813999994,04,NaN,NaN,0,1
PAV,29,8,RPV,1,0,N,4,5,48RPVN5shoot,0.3278,0.0165,1840.94,4,50,28000,56.24501307450545,-3.5212787623333273,28000,46.31349642100532,-2.748257001333326,11,NaN,NaN,0,1
PAV,29,8,RPV,1,1,N+P,1,1,18RPVN+P1shoot,0.3691,0.0101,2055.234,3,48.8,280000,55.570678024402135,-3.193670273333336,2800,53.185587483192926,-3.4022962243749992,08,49.054496764999996,109.73433138932981,0,1
PAV,29,8,RPV,1,1,N+P,1,2,18RPVN+P2shoot,0.4327,0.0152,2352.631,3,51.2,28000,56.835315226920635,-3.627224160666664,28000,54.450656562759015,-3.86230174347826,06,NaN,NaN,0,1
PAV,29,8,RPV,1,1,N+P,2,3,28RPVN+P3shoot,0.381,0.0309,1791.846,3,46.4,2800,55.026935974917805,-3.267628832296297,28000,55.295295845025066,-3.8280703219999936,10,NaN,NaN,0,1
PAV,29,8,RPV,1,1,N+P,3,4,38RPVN+P4shoot,0.5115,0.0262,2500.647,4,48.2,28000,56.835315226920635,-3.627224160666664,28000,54.450656562759015,-3.86230174347826,06,NaN,NaN,0,1
RPV,5,1,coinfection,0,0,low,1,1,11coinfectionlow1shoot,0.1597,0.0128,798.214,2,47.5,2800,52.396041698335196,-3.4743881866666664,2800,49.87804498427564,-3.345626683222222,25,34.27772903666666,46014.84816489171,46014.84816489171,0
RPV,5,1,coinfection,0,0,low,1,2,11coinfectionlow2shoot,0.1532,0.0133,746.368,2,45.4,2800,49.796860060958295,-3.144371795666668,2800,52.89612035071825,-3.4712520312962956,19,35.540507,99957.10464562879,99957.10464562879,0
RPV,5,1,coinfection,0,0,low,2,3,21coinfectionlow3shoot,0.134,0.0176,679.762,2,50.7,2800,48.9850770018075,-3.0088815262222224,2800,51.57720035970756,-3.5260478969999998,22,36.793266296666665,15587.534820214945,15587.534820214945,0
RPV,5,1,coinfection,0,0,low,3,4,31coinfectionlow4shoot,0.2073,0.0185,1046.657,2,52.2,2800,53.33356800985676,-3.7565678919999974,2800,52.04851390697174,-3.525956916333331,43,35.995863596666666,35703.22500303959,35703.22500303959,0
RPV,5,1,coinfection,0,1,P,1,1,11coinfectionP1shoot,0.1564,0.0115,707.601,2,48.7,2800,48.9850770018075,-3.0088815262222224,2800,51.57720035970756,-3.5260478969999998,22,37.96534220333333,7250.575000276901,7250.575000276901,0
RPV,5,1,coinfection,0,1,P,1,2,11coinfectionP2shoot,0.1427,0.0117,737.51,2,47.7,2800,50.86659032166355,-3.2532892863333336,2800,49.73738099187795,-3.558046975999998,21,39.162956234999996,937.5068825263502,0,1
RPV,5,1,coinfection,0,1,P,2,3,21coinfectionP3shoot,0.0942,0.0148,622.46,1,47.2,2800,54.4608237007568,-3.962081251962963,2800,49.79641931559469,-3.1170673473333332,29,35.60479990666666,35717.039356171554,35717.039356171554,0
RPV,5,1,coinfection,0,1,P,3,4,31coinfectionP4shoot,0.1573,0.0129,697.557,2,50.2,2800,50.87939654581369,-3.364814314000001,2800,51.71905653844353,-3.58935585048148,18,35.193927763333335,40172.236837990225,40172.236837990225,0
RPV,5,1,coinfection,1,0,N,1,1,11coinfectionN1shoot,0.2075,0.0193,1071.933,2,47.3,2800,55.42708360197174,-4.056960670962964,2800,52.638285444077184,-3.6371089514814825,41,NaN,NaN,0,1
RPV,5,1,coinfection,1,0,N,1,2,11coinfectionN2shoot,0.1319,0.011,642.632,2,50.2,2800,52.396041698335196,-3.4743881866666664,2800,49.87804498427564,-3.345626683222222,25,35.225569406666665,23965.73324160237,23965.73324160237,0
RPV,5,1,coinfection,1,0,N,2,3,21coinfectionN3shoot,0.1361,0.0121,722.77,2,54.8,1000,53.61460039970443,-3.26696056811987,1000,48.158260637525146,-3.2357518895975863,01,37.729934693333334,1670.4932916344771,1670.4932916344771,0
RPV,5,1,coinfection,1,0,N,3,4,31coinfectionN4shoot,0.1585,0.0111,675.06,2,48.4,28000,52.13787768317112,-3.5050912220000052,2800,51.016664544847124,-3.3567030586666666,28,34.91128667,62802.24286077786,62802.24286077786,0
RPV,5,1,coinfection,1,1,N+P,1,1,11coinfectionN+P1shoot,0.1049,0.0067,497.974,1,47.3,2800,52.999059720874435,-3.3933433428888917,2800,51.22810233179825,-3.3048075430370365,27,33.970190683333335,166748.7291747575,166748.7291747575,0
RPV,5,1,coinfection,1,1,N+P,2,3,21coinfectionN+P3shoot,0.1683,0.0144,978.173,2,46.2,2800,51.38179051920926,-3.4672812150000007,2800,49.968065771911625,-3.525420062,31,33.68833287666667,41477.60325229561,41477.60325229561,0
RPV,5,1,healthy,0,0,low,3,4,31healthylow4shoot,0.1805,0.0086,844.781,2,52,28000,52.66682697726746,-3.3719715109999973,2800,49.88475912124668,-3.252348637592592,03,NaN,NaN,0,1
RPV,5,1,healthy,1,0,N,1,2,11healthyN2shoot,0.1301,0.0131,668.186,2,49.3,2800,54.443033163112105,-3.0831486584444425,28000,54.8519049823941,-3.428139813999994,04,NaN,NaN,0,1
RPV,5,1,healthy,1,0,N,3,4,31healthyN4shoot,0.1881,0.0171,920.203,2,51.6,28000,52.66682697726746,-3.3719715109999973,2800,49.88475912124668,-3.252348637592592,03,NaN,NaN,0,1
RPV,5,1,PAV,0,0,low,2,3,21PAVlow3shoot,0.1859,0.0193,979.905,2,53.4,1000,53.61460039970443,-3.26696056811987,1000,48.158260637525146,-3.2357518895975863,01,39.05527878,650.5053639945041,0,1
RPV,5,1,PAV,0,1,P,4,5,41PAVP5shoot,0.2299,0.0248,1045.082,2,42,2800,54.443033163112105,-3.0831486584444425,28000,54.8519049823941,-3.428139813999994,04,NaN,NaN,0,1
RPV,5,1,PAV,1,1,N+P,1,1,11PAVN+P1shoot,0.1906,0.0123,798.141,2,51.9,2800,54.443033163112105,-3.0831486584444425,28000,54.8519049823941,-3.428139813999994,04,NaN,NaN,0,1
RPV,5,1,PAV,1,1,N+P,2,3,21PAVN+P3shoot,0.1842,0.0261,937.815,2,50.3,1000,53.61460039970443,-3.26696056811987,1000,48.158260637525146,-3.2357518895975863,01,NaN,NaN,0,1
RPV,5,1,RPV,0,0,low,1,1,11RPVlow1shoot,0.1303,0.0129,547.398,2,48.6,2800,56.15578587325488,-3.476488848,2800,54.27998251009572,-3.6793323785294114,07,38.75926208333333,16533.026476627136,16533.026476627136,0
RPV,5,1,RPV,0,0,low,2,3,21RPVlow3shoot,0.1505,0.0128,913.221,2,48,2800,53.91588388787196,-3.352839229851849,2800,54.45703351869864,-3.645049392402595,09,40.44711304,6975.052804367581,6975.052804367581,0
RPV,5,1,RPV,0,0,low,3,4,31RPVlow4shoot,0.2293,0.0286,1001.273,2,47.2,2800,53.91588388787196,-3.352839229851849,2800,54.45703351869864,-3.645049392402595,09,37.02935791,60421.36361878421,60421.36361878421,0
RPV,5,1,RPV,0,0,low,5,6,51RPVlow6shoot,0.1408,0.0119,NA,NA,48.5,NA,NA,NA,2800,51.922408000958875,-3.4942274306666654,40,39.02901077,4896.8136276229225,4896.8136276229225,0
RPV,5,1,RPV,0,1,P,1,1,11RPVP1shoot,0.1233,0.0149,598.165,2,46.1,2800,53.91588388787196,-3.352839229851849,2800,54.45703351869864,-3.645049392402595,09,41.46414820333333,3668.8443558683134,3668.8443558683134,0
RPV,5,1,RPV,0,1,P,1,2,11RPVP2shoot,0.1071,0.0155,476.107,2,48.3,2800,56.11142245045284,-3.7056832697407387,2800,53.038864846669526,-3.7361079197058813,05,35.75897852333333,42179.71450198964,42179.71450198964,0
RPV,5,1,RPV,0,1,P,3,4,31RPVP4shoot,0.1753,0.0094,820.212,2,49.6,NA,NA,NA,2800,50.61411033768001,-3.4558214213651874,33,33.28587341,103327.64690272803,103327.64690272803,0
RPV,5,1,RPV,0,1,P,4,5,41RPVP5shoot,0.135,0.0183,512.488,2,48.5,NA,NA,NA,2800,50.61411033768001,-3.4558214213651874,33,35.67676544,21007.37334067899,21007.37334067899,0
RPV,5,1,RPV,0,1,P,5,6,51RPVP6shoot,0.2354,0.0167,NA,NA,51.3,NA,NA,NA,2800,51.922408000958875,-3.4942274306666654,40,NaN,NaN,0,1
RPV,5,1,RPV,1,0,N,1,1,11RPVN1shoot,0.0566,0.0066,289.26,1,14.1,NA,NA,NA,2800,50.059162536277505,-3.4099823359999992,34,36.22566096,11396.364850590404,11396.364850590404,0
RPV,5,1,RPV,1,0,N,1,2,11RPVN2shoot,0.1824,0.0183,907.212,2,54.6,2800,49.19482930996279,-3.0508223223333335,2800,50.71861645847463,-3.568601969833332,12,41.386846545,412.06448569078714,0,1
RPV,5,1,RPV,1,0,N,3,4,31RPVN4shoot,0.1864,0.014,787.734,2,47.2,NA,NA,NA,2800,50.146141127929546,-3.4526552196666622,45,41.00121307,445.31291994457354,0,1
RPV,5,1,RPV,1,0,N,4,5,41RPVN5shoot,0.2922,0.0726,1133.15,2,49.1,NA,NA,NA,2800,50.059162536277505,-3.4099823359999992,34,NaN,NaN,0,1
RPV,5,1,RPV,1,0,N,4,5,41RPVN5shoot,0.2922,0.0726,1133.15,2,49.1,NA,NA,NA,2800,50.146141127929546,-3.4526552196666622,45,41.80755615,260.0892516336211,0,1
RPV,5,1,RPV,1,0,N,5,6,51RPVN6shoot,0.2703,0.0165,NA,NA,52.1,NA,NA,NA,2800,51.922408000958875,-3.4942274306666654,40,39.04038239,4860.25631615301,4860.25631615301,0
RPV,5,1,RPV,1,1,N+P,1,1,11RPVN+P1shoot,0.1479,0.0147,624.97,2,50.4,280000,55.570678024402135,-3.193670273333336,2800,53.185587483192926,-3.4022962243749992,08,40.012651445,7443.515686146568,7443.515686146568,0
RPV,5,1,RPV,1,1,N+P,1,2,11RPVN+P2shoot,0.0993,0.0142,515.447,1,46.9,2800,56.15578587325488,-3.476488848,2800,54.27998251009572,-3.6793323785294114,07,39.071596783333334,13597.635680338433,13597.635680338433,0
RPV,5,1,RPV,1,1,N+P,2,3,21RPVN+P3shoot,0.0469,0.0163,951.777,2,16.5,2800,53.91588388787196,-3.352839229851849,2800,54.45703351869864,-3.645049392402595,09,NaN,NaN,0,1
RPV,5,1,RPV,1,1,N+P,3,4,31RPVN+P4shoot,0.2114,0.015,1095.521,2,51.6,NA,NA,NA,2800,50.059162536277505,-3.4099823359999992,34,35.99391937,13326.806966018252,13326.806966018252,0
RPV,5,1,RPV,1,1,N+P,4,5,41RPVN+P5shoot,0.1301,0.0107,589.12,2,49.6,2800,56.11142245045284,-3.7056832697407387,2800,53.038864846669526,-3.7361079197058813,05,41.291244504999995,1394.270902363094,0,1
RPV,5,1,RPV,1,1,N+P,5,6,51RPVN+P6shoot,0.2767,0.0198,NA,NA,48.3,NA,NA,NA,2800,51.922408000958875,-3.4942274306666654,40,42.92865372,374.8773575272811,0,1
RPV,8,2,coinfection,0,0,low,1,1,12coinfectionlow1shoot,0.1659,0.0382,328.334,1,49.7,2800,54.4608237007568,-3.962081251962963,2800,49.79641931559469,-3.1170673473333332,29,38.444971085,4382.3566869906135,4382.3566869906135,0
RPV,8,2,coinfection,0,0,low,1,2,12coinfectionlow2shoot,0.0778,0.0791,991.742,2,49.4,1000,53.61460039970443,-3.26696056811987,1000,48.158260637525146,-3.2357518895975863,01,38.03885015,1340.8348363546033,1340.8348363546033,0
RPV,8,2,coinfection,0,0,low,2,3,22coinfectionlow3shoot,0.1629,0.0279,827.857,2,51.7,2800,52.9517160275321,-3.5594708759999985,2800,50.16044780753552,-3.3807856236666654,23,35.13168970666667,27883.34622270494,27883.34622270494,0
RPV,8,2,coinfection,0,0,low,3,4,32coinfectionlow4shoot,0.1955,0.018,1023.615,2,47.2,2800,50.87939654581369,-3.364814314000001,2800,51.71905653844353,-3.58935585048148,18,33.04001363,159959.4007475165,159959.4007475165,0
RPV,8,2,coinfection,0,0,low,4,5,42coinfectionlow5shoot,0.3019,0.0174,1515.234,2,46.3,2800,52.396041698335196,-3.4743881866666664,2800,49.87804498427564,-3.345626683222222,25,35.217159269999996,24104.853211499965,24104.853211499965,0
RPV,8,2,coinfection,0,0,low,5,6,52coinfectionlow6shoot,0.1961,0.0126,NA,NA,50.8,2800,53.29624884074607,-3.534526507333334,2800,51.224510321393424,-3.509619395666665,38,36.32195917666667,17627.937444921135,17627.937444921135,0
RPV,8,2,coinfection,0,1,P,1,1,12coinfectionP1shoot,0.1392,0.0409,865.919,2,46.8,2800,50.86659032166355,-3.2532892863333336,2800,49.73738099187795,-3.558046975999998,21,32.020565033333334,95359.81223439293,95359.81223439293,0
RPV,8,2,coinfection,0,1,P,1,2,12coinfectionP2shoot,0.0504,0.0096,280.923,1,30.3,2800,51.38179051920926,-3.4672812150000007,2800,49.968065771911625,-3.525420062,31,30.505809146666667,331550.5010277743,331550.5010277743,0
RPV,8,2,coinfection,0,1,P,2,3,22coinfectionP3shoot,0.1011,0.0101,466.961,2,48.1,2800,48.9850770018075,-3.0088815262222224,2800,51.57720035970756,-3.5260478969999998,22,33.92871984,101198.30157598863,101198.30157598863,0
RPV,8,2,coinfection,0,1,P,3,4,32coinfectionP4shoot,0.1839,0.0166,867.683,2,48.1,2800,50.87939654581369,-3.364814314000001,2800,51.71905653844353,-3.58935585048148,18,33.06348292333333,157569.14833631113,157569.14833631113,0
RPV,8,2,coinfection,0,1,P,4,5,42coinfectionP5shoot,0.2698,0.018,1122.714,2,48.5,2800,54.4608237007568,-3.962081251962963,2800,49.79641931559469,-3.1170673473333332,29,35.63522338666667,34923.29099873088,34923.29099873088,0
RPV,8,2,coinfection,0,1,P,5,6,52coinfectionP6shoot,0.1925,0.014,NA,NA,48.5,2800,53.29624884074607,-3.534526507333334,2800,51.224510321393424,-3.509619395666665,38,38.721045176666664,3652.8100824898497,3652.8100824898497,0
RPV,8,2,coinfection,1,0,N,1,1,12coinfectionN1shoot,0.1858,0.0373,1158.226,2,48.8,28000,52.66682697726746,-3.3719715109999973,2800,49.88475912124668,-3.252348637592592,03,35.46543502666667,27133.83594891018,27133.83594891018,0
RPV,8,2,coinfection,1,0,N,2,3,22coinfectionN3shoot,0.206,0.0203,924.273,2,49.3,2800,50.37211045984439,-3.366426213999998,2800,49.476777238956124,-3.068125512222223,30,32.98061243666667,238027.12824833734,238027.12824833734,0
RPV,8,2,coinfection,1,0,N,3,4,32coinfectionN4shoot,0.0914,0.0081,405.019,2,43.9,2800,52.9517160275321,-3.5594708759999985,2800,50.16044780753552,-3.3807856236666654,23,40.879486084999996,556.171315379893,0,1
RPV,8,2,coinfection,1,0,N,4,5,42coinfectionN5shoot,0.1014,0.0033,419.192,2,50.8,2800,48.9850770018075,-3.0088815262222224,2800,51.57720035970756,-3.5260478969999998,22,38.73605982666667,4383.228688299141,4383.228688299141,0
RPV,8,2,coinfection,1,0,N,5,6,52coinfectionN6shoot,0.2522,0.0188,NA,NA,48.5,2800,53.29624884074607,-3.534526507333334,2800,51.224510321393424,-3.509619395666665,38,36.785130816666666,13008.567002770425,13008.567002770425,0
RPV,8,2,coinfection,1,1,N+P,1,1,12coinfectionN+P1shoot,0.1832,0.0472,1054.471,2,48.1,2800,50.37211045984439,-3.366426213999998,2800,49.476777238956124,-3.068125512222223,30,34.055582683333334,106232.97753008804,106232.97753008804,0
RPV,8,2,coinfection,1,1,N+P,2,3,22coinfectionN+P3shoot,0.1972,0.0253,1026.76,2,49.5,2800,55.42708360197174,-4.056960670962964,2800,52.638285444077184,-3.6371089514814825,41,35.62777456,47526.069788941655,47526.069788941655,0
RPV,8,2,coinfection,1,1,N+P,3,4,32coinfectionN+P4shoot,0.288,0.0229,1360.655,2,51.5,2800,49.796860060958295,-3.144371795666668,2800,52.89612035071825,-3.4712520312962956,19,34.53404235666667,194875.16662266635,194875.16662266635,0
RPV,8,2,coinfection,1,1,N+P,4,5,42coinfectionN+P5shoot,0.3639,0.023,1657.85,2,48.6,2800,50.37211045984439,-3.366426213999998,2800,49.476777238956124,-3.068125512222223,30,43.46513367,91.07233139158376,0,1
RPV,8,2,coinfection,1,1,N+P,5,6,52coinfectionN+P6shoot,0.3703,0.0183,NA,NA,47.6,2800,53.29624884074607,-3.534526507333334,2800,51.224510321393424,-3.509619395666665,38,38.8786087,3294.066270109291,3294.066270109291,0
RPV,8,2,healthy,0,1,P,3,4,32healthyP4shoot,0.728,0.0143,199.031,1,44.2,28000,52.66682697726746,-3.3719715109999973,2800,49.88475912124668,-3.252348637592592,03,NaN,NaN,0,1
RPV,8,2,PAV,0,1,P,1,1,12PAVP1shoot,0.1688,0.0177,987.201,2,49.2,28000,52.66682697726746,-3.3719715109999973,2800,49.88475912124668,-3.252348637592592,03,NaN,NaN,0,1
RPV,8,2,RPV,0,0,low,1,1,12RPVlow1shoot,0.109,0.0111,432.066,2,45.8,2800,56.15578587325488,-3.476488848,2800,54.27998251009572,-3.6793323785294114,07,NaN,NaN,0,1
RPV,8,2,RPV,0,0,low,1,1,12RPVlow1shoot,0.109,0.0111,432.066,2,45.8,NA,NA,NA,2800,50.146141127929546,-3.4526552196666622,45,46.93935394,8.487674382199355,0,1
RPV,8,2,RPV,0,0,low,1,2,12RPVlow2shoot,0.0919,0.0151,477.714,2,46.9,NA,NA,NA,2800,50.146141127929546,-3.4526552196666622,45,38.12094752,3040.0647757041766,3040.0647757041766,0
RPV,8,2,RPV,0,0,low,2,3,22RPVlow3shoot,0.2339,0.0239,1122.259,2,46.4,280000,55.570678024402135,-3.193670273333336,2800,53.185587483192926,-3.4022962243749992,08,35.72419103,135593.45590845347,135593.45590845347,0
RPV,8,2,RPV,0,0,low,3,4,32RPVlow4shoot,0.3012,0.0359,1391.601,2,48.4,NA,NA,NA,2800,50.146141127929546,-3.4526552196666622,45,33.91302363333333,50307.52308754148,50307.52308754148,0
RPV,8,2,RPV,0,0,low,4,5,42RPVlow5shoot,0.2187,0.0146,1157.4,2,47.3,NA,NA,NA,2800,50.059162536277505,-3.4099823359999992,34,34.67312113333333,32513.144542334092,32513.144542334092,0
RPV,8,2,RPV,0,0,low,5,6,52RPVlow6shoot,0.2228,0.0161,NA,NA,50,NA,NA,NA,2800,51.922408000958875,-3.4942274306666654,40,37.318200426666664,15119.034136597993,15119.034136597993,0
RPV,8,2,RPV,0,1,P,1,1,12RPVP1shoot,0.0716,0.0126,495.738,2,45.1,NA,NA,NA,2800,50.61411033768001,-3.4558214213651874,33,31.84570503,269745.03558529244,269745.03558529244,0
RPV,8,2,RPV,0,1,P,1,2,12RPVP2shoot,0.2276,0.0442,1158.353,2,48.9,2800,56.11142245045284,-3.7056832697407387,2800,53.038864846669526,-3.7361079197058813,05,38.49361546666667,7819.078548463873,7819.078548463873,0
RPV,8,2,RPV,0,1,P,2,3,22RPVP3shoot,0.2217,0.0244,1098.683,2,49.3,NA,NA,NA,2800,50.61411033768001,-3.4558214213651874,33,36.960996625,8928.07603231453,8928.07603231453,0
RPV,8,2,RPV,0,1,P,3,4,32RPVP4shoot,0.1436,0.0168,693.582,2,50,2800,53.91588388787196,-3.352839229851849,2800,54.45703351869864,-3.645049392402595,09,33.98170725333333,414283.21944113524,414283.21944113524,0
RPV,8,2,RPV,0,1,P,4,5,42RPVP5shoot,0.275,0.0176,1359.636,2,47.7,NA,NA,NA,2800,50.059162536277505,-3.4099823359999992,34,32.102832793333334,184422.1690476317,184422.1690476317,0
RPV,8,2,RPV,0,1,P,5,6,52RPVP6shoot,0.231,0.0204,NA,NA,48.9,NA,NA,NA,2800,51.922408000958875,-3.4942274306666654,40,36.94317499666666,19357.58547976835,19357.58547976835,0
RPV,8,2,RPV,1,0,N,1,1,12RPVN1shoot,0.2257,0.0204,1306.745,2,46.5,2800,56.15578587325488,-3.476488848,2800,54.27998251009572,-3.6793323785294114,07,39.19479243,12588.681581472405,12588.681581472405,0
RPV,8,2,RPV,1,0,N,2,3,22RPVN3shoot,0.2552,0.0204,1299.664,2,50.9,NA,NA,NA,2800,50.059162536277505,-3.4099823359999992,34,32.284796396666664,163098.92127826906,163098.92127826906,0
RPV,8,2,RPV,1,0,N,3,4,32RPVN4shoot,0.2068,0.0198,874.299,2,50.1,NA,NA,NA,2800,50.059162536277505,-3.4099823359999992,34,31.639791486666667,252117.54439671166,252117.54439671166,0
RPV,8,2,RPV,1,0,N,4,5,42RPVN5shoot,0.2899,0.017,1351.688,2,52,2800,49.19482930996279,-3.0508223223333335,2800,50.71861645847463,-3.568601969833332,12,34.94979858666667,26228.063700593688,26228.063700593688,0
RPV,8,2,RPV,1,0,N,5,6,52RPVN6shoot,0.1966,0.0144,NA,NA,53.8,NA,NA,NA,2800,51.922408000958875,-3.4942274306666654,40,36.53748067,25290.379232629777,25290.379232629777,0
RPV,8,2,RPV,1,1,N+P,1,1,12RPVN+P1shoot,0.1509,0.0231,935.258,2,49,2800,53.91588388787196,-3.352839229851849,2800,54.45703351869864,-3.645049392402595,09,35.37858454,171423.93322048752,171423.93322048752,0
